,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1370,57000,Hobyo,99,SO,1579998870,81,5.35,48.53,25.45,7.09
1113,58933,Garoowe,74,SO,1579998212,76,8.41,48.48,22.88,4.91
908,81604,Suluq,67,LY,1579998180,61,31.67,20.25,10.89,4.63
557,86049,Jalu,12,LY,1579998214,52,29.03,21.55,11.71,3.88
177,87205,Darnah,48,LY,1579998154,59,32.77,22.64,15.54,5.66
1565,102527,Sakakah,75,SA,1579998959,65,29.97,40.21,8.0,1.5
486,107304,Buraidah,0,SA,1579998025,93,26.33,43.98,4.0,5.7
1437,108410,Riyadh,0,SA,1579998765,39,24.69,46.72,7.0,5.7
1558,110690,Faya,40,SA,1579999089,87,18.39,42.45,8.0,3.03
1615,128234,Kerman,0,IR,1579999156,63,30.28,57.08,-2.0,2.1
217,139817,Bushehr,43,IR,1579998158,70,28.97,50.84,12.9,6.22
513,150793,Pangani,100,TZ,1579998207,84,-5.43,38.97,26.02,2.29
1478,164947,Salamiyah,0,SY,1579998996,60,35.01,37.05,3.57,4.07
348,204283,Watsa,92,CD,1579998181,42,3.04,29.54,20.19,0.62
106,216281,Goma,81,CD,1579998145,76,-1.68,29.22,14.11,0.22
1030,228971,Mubende,100,UG,1579998200,57,0.56,31.39,19.69,0.4
980,239899,Bria,100,CF,1579998191,26,6.54,21.99,17.37,2.31
1631,257122,Methoni,100,GR,1579999174,93,36.82,21.7,11.11,1.5
1672,258175,Lixouri,99,GR,1579999221,69,38.2,20.43,14.51,4.44
933,261814,Koutsouras,74,GR,1579998185,80,35.03,25.95,10.0,0.89
326,286245,Sur,4,OM,1579998175,82,22.57,59.53,19.57,2.12
1200,311728,Mersin,75,TR,1579998140,80,36.86,34.65,5.0,2.1
1,334700,Hirna,100,ET,1579998130,90,9.22,41.1,15.34,4.11
1653,352733,Mersa Matruh,0,EG,1579999199,81,31.35,27.25,8.0,0.55
338,358620,Safaga,0,EG,1579998179,40,26.73,33.94,12.0,3.6
1466,361291,Hurghada,0,EG,1579998981,40,27.26,33.81,12.0,3.6
752,363656,Yambio,46,SS,1579998542,36,4.57,28.4,19.78,1.91
180,370737,Malakal,16,SS,1579998154,13,9.53,31.66,20.6,3.46
1118,408689,Lardos,43,GR,1579998213,71,36.09,28.02,11.11,1.5
1633,473263,Vizinga,100,RU,1579999176,96,61.07,50.1,-14.1,1.44
626,475469,Verkhnetulomskiy,40,RU,1579998139,84,68.61,31.8,-19.0,1.0
998,486983,Stulovo,92,RU,1579998194,96,58.72,50.14,-10.07,2.02
1330,491019,Sol'-Iletsk,100,RU,1579998824,96,51.16,54.99,-1.18,8.33
560,539817,Kudymkar,100,RU,1579998214,94,59.02,54.66,-9.57,2.1
190,541951,Krasnozatonskiy,75,RU,1579997944,92,61.68,50.98,-14.0,3.0
93,546105,Nikolskoye,40,RU,1579998143,86,59.7,30.79,-0.56,2.0
864,553766,Kamenka,79,RU,1579998172,87,51.32,42.77,1.11,3.58
258,554318,Kalevala,27,RU,1579998165,90,65.2,31.17,-13.66,2.1
686,556268,Ostrovnoy,65,RU,1579998125,99,68.05,39.51,-17.43,3.66
1044,564593,Dubovskoye,100,RU,1579998202,95,47.41,42.76,1.43,8.9
